 ,Label,Area,XM,YM,Major,Minor,Angle
1,20220622_A23.tif:1,210,225.843,26.210,16.885,15.835,110.705
2,20220622_A23.tif:1,214,460.790,26.565,16.888,16.134,92.735
3,20220622_A23.tif:1,208,694.596,27.260,16.674,15.883,23.479
4,20220622_A23.tif:1,201,108.087,96.465,16.602,15.415,99.871
5,20220622_A23.tif:1,212,343.028,96.179,16.829,16.039,90.817
6,20220622_A23.tif:1,206,577.801,96.369,16.542,15.855,59.994
7,20220622_A23.tif:1,192,811.333,96.833,16.137,15.149,38.031
8,20220622_A23.tif:1,194,155.593,144.175,16.406,15.056,114.751
9,20220622_A23.tif:1,203,391.131,144.589,16.635,15.538,85.632
10,20220622_A23.tif:1,202,625.723,145.272,16.337,15.743,49.805
11,20220622_A23.tif:1,186,859.833,146.188,16.192,14.626,10.673
12,20220622_A23.tif:1,180,37.050,213.639,15.768,14.535,95.622
13,20220622_A23.tif:1,202,272.965,213.886,16.411,15.672,90.134
14,20220622_A23.tif:1,199,508.379,214.043,16.392,15.458,75.696
15,20220622_A23.tif:1,193,742.407,214.241,16.037,15.323,50.165
16,20220622_A23.tif:1,193,225.935,261.842,16.324,15.054,98.800
17,20220622_A23.tif:1,199,461.093,261.867,16.270,15.573,70.829
18,20220622_A23.tif:1,190,695.611,262.016,15.833,15.279,24.117
19,20220622_A23.tif:1,183,107.281,331.669,15.923,14.633,108.343
20,20220622_A23.tif:1,197,343.561,331.708,16.348,15.343,92.399
21,20220622_A23.tif:1,188,578.394,331.702,15.900,15.054,59.981
22,20220622_A23.tif:1,179,812.254,331.964,15.717,14.501,13.770
23,20220622_A23.tif:1,192,391.193,380.260,16.010,15.270,79.268
24,20220622_A23.tif:1,192,626.359,379.859,15.797,15.475,80.724
25,20220622_A23.tif:1,185,155.446,380.295,15.412,15.283,108.604
26,20220622_A23.tif:1,172,860.238,380.128,15.233,14.376,11.315
27,20220622_A23.tif:1,193,273.288,449.236,15.932,15.424,89.160
28,20220622_A23.tif:1,194,508.856,449.077,15.997,15.441,86.562
29,20220622_A23.tif:1,169,36.695,449.725,15.179,14.176,89.191
30,20220622_A23.tif:1,195,743.003,449.485,16.157,15.366,4.239
31,20220622_A23.tif:1,186,225.640,497.737,15.666,15.117,63.898
32,20220622_A23.tif:1,191,461.500,497.746,15.920,15.276,101.190
33,20220622_A23.tif:1,184,696.326,497.342,15.547,15.069,140.459
34,20220622_A23.tif:1,191,578.720,567.191,15.847,15.346,44.392
35,20220622_A23.tif:1,186,107.274,567.962,16.175,14.641,75.685
36,20220622_A23.tif:1,191,343.458,567.421,15.768,15.423,61.965
37,20220622_A23.tif:1,180,813.317,566.922,15.741,14.560,170.815
38,20220622_A23.tif:1,181,860.555,614.550,15.416,14.949,148.821
39,20220622_A23.tif:1,207,391.036,616.104,16.523,15.951,87.138
40,20220622_A23.tif:1,201,626.430,615.808,16.228,15.771,122.891
41,20220622_A23.tif:1,203,154.978,616.820,16.413,15.748,56.163
42,20220622_A23.tif:1,206,744.126,684.587,16.512,15.885,155.839
43,20220622_A23.tif:1,211,273.263,685.912,16.768,16.021,68.009
44,20220622_A23.tif:1,217,509.260,685.007,16.898,16.351,33.715
45,20220622_A23.tif:1,193,36.075,685.671,16.219,15.151,30.593
46,20220622_A23.tif:2,210,225.843,26.210,16.885,15.835,110.705
47,20220622_A23.tif:2,214,460.752,26.500,16.952,16.073,90.000
48,20220622_A23.tif:2,207,694.635,27.268,16.620,15.858,29.340
49,20220622_A23.tif:2,201,108.062,96.510,16.442,15.565,98.675
50,20220622_A23.tif:2,211,343.036,96.140,16.717,16.071,93.627
51,20220622_A23.tif:2,204,577.784,96.412,16.625,15.623,67.263
52,20220622_A23.tif:2,190,811.311,96.821,15.964,15.154,31.605
53,20220622_A23.tif:2,193,155.588,144.215,16.337,15.042,117.864
54,20220622_A23.tif:2,203,391.047,144.569,16.493,15.671,82.356
55,20220622_A23.tif:2,203,625.756,145.293,16.301,15.856,46.980
56,20220622_A23.tif:2,187,859.869,146.249,16.018,14.864,11.762
57,20220622_A23.tif:2,180,37.094,213.600,15.607,14.685,99.647
58,20220622_A23.tif:2,202,273.015,213.946,16.331,15.748,91.125
59,20220622_A23.tif:2,200,508.340,214.040,16.355,15.570,73.693
60,20220622_A23.tif:2,192,742.448,214.240,16.018,15.262,56.479
61,20220622_A23.tif:2,193,226.034,261.780,16.208,15.162,90.744
62,20220622_A23.tif:2,198,461.056,261.879,16.262,15.503,76.421
63,20220622_A23.tif:2,189,695.569,262.013,15.756,15.273,32.551
64,20220622_A23.tif:2,181,107.296,331.660,15.730,14.650,103.310
65,20220622_A23.tif:2,196,343.536,331.740,16.306,15.304,97.011
66,20220622_A23.tif:2,189,578.431,331.717,15.862,15.171,58.063
67,20220622_A23.tif:2,179,812.193,331.936,15.887,14.346,14.751
68,20220622_A23.tif:2,195,391.223,380.182,16.118,15.404,75.444
69,20220622_A23.tif:2,193,626.334,379.826,15.853,15.501,94.929
70,20220622_A23.tif:2,185,155.446,380.295,15.412,15.283,108.604
71,20220622_A23.tif:2,173,860.280,380.113,15.363,14.337,12.829
72,20220622_A23.tif:2,194,273.253,449.258,15.949,15.487,79.540
73,20220622_A23.tif:2,195,508.885,449.049,16.056,15.464,78.699
74,20220622_A23.tif:2,168,36.708,449.768,15.065,14.198,85.633
75,20220622_A23.tif:2,194,743.021,449.521,16.182,15.264,7.773
76,20220622_A23.tif:2,187,225.634,497.773,15.769,15.099,74.723
77,20220622_A23.tif:2,192,461.516,497.708,15.998,15.281,95.179
78,20220622_A23.tif:2,186,696.392,497.296,15.521,15.258,157.883
79,20220622_A23.tif:2,194,578.655,567.108,15.842,15.592,54.417
80,20220622_A23.tif:2,178,813.320,566.966,15.332,14.782,164.112
81,20220622_A23.tif:2,186,107.274,567.962,16.175,14.641,75.685
82,20220622_A23.tif:2,191,343.458,567.421,15.768,15.423,61.965
83,20220622_A23.tif:2,179,860.606,614.444,15.289,14.907,174.645
84,20220622_A23.tif:2,207,391.036,616.104,16.523,15.951,87.138
85,20220622_A23.tif:2,201,626.430,615.803,16.246,15.753,123.877
86,20220622_A23.tif:2,203,154.973,616.825,16.427,15.735,58.168
