 ,Label,Area,XM,YM,Major,Minor,Angle
1,20220622_B21.tif:1,212,225.892,26.151,16.896,15.976,102.781
2,20220622_B21.tif:1,215,460.756,26.584,16.881,16.217,87.562
3,20220622_B21.tif:1,207,694.635,27.268,16.620,15.858,29.340
4,20220622_B21.tif:1,205,108.149,96.520,16.669,15.658,99.760
5,20220622_B21.tif:1,212,343.000,96.151,16.691,16.172,90.000
6,20220622_B21.tif:1,206,577.806,96.320,16.654,15.749,58.346
7,20220622_B21.tif:1,192,811.333,96.833,16.137,15.149,38.031
8,20220622_B21.tif:1,196,155.648,144.163,16.484,15.139,114.994
9,20220622_B21.tif:1,202,391.089,144.490,16.521,15.568,88.261
10,20220622_B21.tif:1,203,625.756,145.293,16.301,15.856,46.980
11,20220622_B21.tif:1,187,859.949,146.131,16.296,14.611,12.472
12,20220622_B21.tif:1,184,37.130,213.636,15.754,14.871,107.808
13,20220622_B21.tif:1,206,273.015,213.869,16.495,15.901,101.795
14,20220622_B21.tif:1,198,508.424,213.904,16.200,15.562,84.980
15,20220622_B21.tif:1,193,742.464,214.189,16.147,15.219,63.489
16,20220622_B21.tif:1,197,226.074,261.774,16.265,15.421,88.103
17,20220622_B21.tif:1,198,461.096,261.843,16.188,15.573,76.448
18,20220622_B21.tif:1,188,695.606,261.995,15.633,15.312,35.871
19,20220622_B21.tif:1,185,107.268,331.657,15.960,14.759,101.599
20,20220622_B21.tif:1,197,343.581,331.708,16.362,15.330,96.805
21,20220622_B21.tif:1,186,578.516,331.575,15.683,15.100,51.605
22,20220622_B21.tif:1,178,812.264,331.848,15.701,14.435,14.177
23,20220622_B21.tif:1,194,391.201,380.216,16.016,15.422,80.150
24,20220622_B21.tif:1,192,626.344,379.786,15.757,15.514,106.992
25,20220622_B21.tif:1,186,155.500,380.317,15.597,15.184,69.380
26,20220622_B21.tif:1,171,860.284,380.108,15.414,14.125,16.350
27,20220622_B21.tif:1,196,273.347,449.138,16.182,15.422,76.129
28,20220622_B21.tif:1,197,508.926,449.023,15.975,15.701,73.775
29,20220622_B21.tif:1,171,36.857,449.845,15.124,14.396,90.236
30,20220622_B21.tif:1,195,743.059,449.438,16.047,15.472,8.194
31,20220622_B21.tif:1,190,225.621,497.737,16.037,15.085,73.325
32,20220622_B21.tif:1,193,461.536,497.769,16.089,15.274,92.975
33,20220622_B21.tif:1,185,696.414,497.262,15.554,15.144,154.264
34,20220622_B21.tif:1,193,578.661,567.148,15.823,15.530,38.247
35,20220622_B21.tif:1,179,813.388,566.874,15.543,14.663,164.234
36,20220622_B21.tif:1,189,107.415,568.029,16.171,14.881,86.556
37,20220622_B21.tif:1,190,343.495,567.432,15.795,15.316,65.562
38,20220622_B21.tif:1,182,860.665,614.440,15.465,14.985,19.303
39,20220622_B21.tif:1,208,391.072,616.091,16.512,16.039,80.923
40,20220622_B21.tif:1,200,626.460,615.775,16.235,15.685,104.131
41,20220622_B21.tif:1,205,155.105,616.807,16.330,15.984,38.309
42,20220622_B21.tif:1,218,509.362,684.872,16.873,16.451,39.778
43,20220622_B21.tif:1,206,744.155,684.510,16.339,16.053,172.466
44,20220622_B21.tif:1,212,273.344,685.858,16.995,15.883,66.115
45,20220622_B21.tif:1,193,36.075,685.671,16.219,15.151,30.593
46,20220622_B21.tif:2,211,225.889,26.111,16.782,16.008,104.557
47,20220622_B21.tif:2,215,460.719,26.519,16.951,16.150,85.357
48,20220622_B21.tif:2,207,694.635,27.268,16.620,15.858,29.340
49,20220622_B21.tif:2,204,108.093,96.417,16.630,15.619,95.527
50,20220622_B21.tif:2,213,343.002,96.209,16.881,16.065,85.222
51,20220622_B21.tif:2,206,577.859,96.316,16.553,15.845,61.239
52,20220622_B21.tif:2,191,811.343,96.793,16.088,15.116,33.228
53,20220622_B21.tif:2,196,155.607,144.184,16.506,15.119,108.353
54,20220622_B21.tif:2,202,391.074,144.584,16.468,15.617,80.668
55,20220622_B21.tif:2,201,625.784,145.296,16.199,15.799,30.162
56,20220622_B21.tif:2,187,859.949,146.131,16.296,14.611,12.472
57,20220622_B21.tif:2,186,37.129,213.737,16.004,14.798,105.377
58,20220622_B21.tif:2,204,273.034,213.922,16.424,15.815,101.715
59,20220622_B21.tif:2,199,508.410,213.942,16.311,15.534,81.733
60,20220622_B21.tif:2,192,742.484,214.224,16.150,15.137,59.327
61,20220622_B21.tif:2,195,226.074,261.797,16.327,15.207,88.505
62,20220622_B21.tif:2,200,461.125,261.890,16.245,15.676,75.133
63,20220622_B21.tif:2,189,695.611,261.976,15.849,15.183,19.074
64,20220622_B21.tif:2,186,107.371,331.597,15.906,14.889,101.604
65,20220622_B21.tif:2,196,343.536,331.740,16.306,15.304,97.011
