 ,Label,Area,XM,YM,Major,Minor,Angle
1,20220622_C34.tif:1,217,226.048,26.187,17.021,16.232,113.612
2,20220622_C34.tif:1,224,460.955,26.482,17.260,16.524,81.647
3,20220622_C34.tif:1,222,694.635,27.315,17.042,16.586,40.089
4,20220622_C34.tif:1,208,108.197,96.524,16.882,15.688,107.457
5,20220622_C34.tif:1,222,343.086,96.342,17.265,16.372,88.150
6,20220622_C34.tif:1,221,577.971,96.477,17.250,16.313,76.989
7,20220622_C34.tif:1,206,811.408,96.971,16.535,15.863,41.749
8,20220622_C34.tif:1,205,155.700,144.212,16.743,15.590,116.992
9,20220622_C34.tif:1,218,391.165,144.528,17.260,16.081,91.275
10,20220622_C34.tif:1,216,625.824,145.296,16.941,16.234,64.199
11,20220622_C34.tif:1,198,859.995,146.460,16.475,15.302,13.347
12,20220622_C34.tif:1,220,508.455,213.859,17.069,16.410,67.650
13,20220622_C34.tif:1,188,37.154,213.729,16.127,14.843,97.997
14,20220622_C34.tif:1,211,273.045,213.931,16.809,15.983,106.216
15,20220622_C34.tif:1,210,742.538,214.276,16.690,16.020,27.365
16,20220622_C34.tif:1,208,226.106,261.760,16.766,15.796,97.320
17,20220622_C34.tif:1,210,461.271,261.852,16.627,16.081,81.871
18,20220622_C34.tif:1,209,695.916,261.964,16.480,16.147,7.909
19,20220622_C34.tif:1,210,343.814,331.629,16.762,15.952,89.103
20,20220622_C34.tif:1,193,107.490,331.764,16.377,15.005,103.493
21,20220622_C34.tif:1,206,578.762,331.811,16.484,15.912,51.541
22,20220622_C34.tif:1,194,812.314,331.918,16.054,15.386,26.772
23,20220622_C34.tif:1,198,155.460,380.242,16.282,15.483,87.081
24,20220622_C34.tif:1,210,391.486,380.133,16.625,16.083,92.420
25,20220622_C34.tif:1,207,626.534,379.814,16.358,16.112,56.224
26,20220622_C34.tif:1,184,860.478,379.924,15.735,14.889,15.090
27,20220622_C34.tif:1,207,273.326,449.254,16.730,15.754,91.128
28,20220622_C34.tif:1,213,508.946,449.040,16.703,16.237,54.668
29,20220622_C34.tif:1,207,743.229,449.500,16.620,15.858,13.089
30,20220622_C34.tif:1,177,36.760,449.828,15.622,14.426,85.833
31,20220622_C34.tif:1,209,461.763,497.591,16.700,15.934,83.674
32,20220622_C34.tif:1,203,696.525,497.244,16.191,15.964,170.444
33,20220622_C34.tif:1,200,225.745,497.770,16.339,15.585,79.496
34,20220622_C34.tif:1,207,343.601,567.471,16.766,15.720,81.000
35,20220622_C34.tif:1,208,578.962,567.096,16.376,16.172,53.871
36,20220622_C34.tif:1,195,813.526,566.864,15.900,15.615,177.822
37,20220622_C34.tif:1,197,107.419,567.982,16.464,15.235,80.910
38,20220622_C34.tif:1,217,626.588,615.537,16.844,16.403,109.678
39,20220622_C34.tif:1,192,860.865,614.448,15.968,15.309,169.218
40,20220622_C34.tif:1,212,155.170,616.774,16.792,16.075,65.405
41,20220622_C34.tif:1,213,391.181,616.110,16.695,16.245,109.906
42,20220622_C34.tif:1,228,509.395,684.895,17.148,16.929,168.765
43,20220622_C34.tif:1,216,744.125,684.528,16.858,16.314,101.812
44,20220622_C34.tif:1,196,36.041,685.694,16.377,15.238,39.280
45,20220622_C34.tif:1,216,273.356,685.824,16.965,16.211,55.557
46,20220622_C34.tif:2,215,225.933,26.202,16.978,16.124,100.685
47,20220622_C34.tif:2,224,460.955,26.482,17.260,16.524,81.647
48,20220622_C34.tif:2,221,694.672,27.305,16.966,16.586,49.087
49,20220622_C34.tif:2,208,108.197,96.524,16.882,15.688,107.457
50,20220622_C34.tif:2,221,343.084,96.319,17.274,16.289,99.593
51,20220622_C34.tif:2,220,577.959,96.441,17.182,16.303,72.588
52,20220622_C34.tif:2,206,811.413,96.976,16.531,15.866,44.071
53,20220622_C34.tif:2,202,155.703,144.183,16.669,15.429,113.979
54,20220622_C34.tif:2,218,391.101,144.505,17.155,16.180,91.724
55,20220622_C34.tif:2,213,625.880,145.308,16.772,16.169,75.527
56,20220622_C34.tif:2,198,859.995,146.460,16.475,15.302,13.347
57,20220622_C34.tif:2,219,508.523,213.874,17.051,16.353,62.086
58,20220622_C34.tif:2,189,37.172,213.659,16.106,14.941,104.109
59,20220622_C34.tif:2,212,273.014,213.906,16.882,15.989,111.125
60,20220622_C34.tif:2,213,742.566,214.373,16.704,16.235,35.780
61,20220622_C34.tif:2,207,226.118,261.722,16.685,15.797,101.349
62,20220622_C34.tif:2,210,461.271,261.852,16.627,16.081,81.871
63,20220622_C34.tif:2,209,695.916,261.964,16.480,16.147,7.909
64,20220622_C34.tif:2,209,343.830,331.591,16.668,15.965,93.946
65,20220622_C34.tif:2,194,107.459,331.789,16.363,15.095,100.887
66,20220622_C34.tif:2,205,578.676,331.812,16.339,15.974,57.118
67,20220622_C34.tif:2,194,812.309,331.995,15.998,15.440,23.250
68,20220622_C34.tif:2,198,155.460,380.242,16.282,15.483,87.081
69,20220622_C34.tif:2,209,391.447,380.127,16.662,15.971,89.786
70,20220622_C34.tif:2,208,626.562,379.788,16.466,16.084,50.759
71,20220622_C34.tif:2,184,860.478,379.924,15.735,14.889,15.090
72,20220622_C34.tif:2,207,273.326,449.254,16.730,15.754,91.128
73,20220622_C34.tif:2,212,508.981,449.047,16.716,16.148,59.598
74,20220622_C34.tif:2,207,743.220,449.495,16.363,16.107,175.885
75,20220622_C34.tif:2,177,36.760,449.828,15.622,14.426,85.833
76,20220622_C34.tif:2,209,461.763,497.591,16.700,15.934,83.674
77,20220622_C34.tif:2,201,696.570,497.276,16.110,15.886,168.915
78,20220622_C34.tif:2,198,225.712,497.727,16.263,15.502,80.193
79,20220622_C34.tif:2,208,343.591,567.510,16.883,15.686,80.243
