 ,Label,Area,XM,YM,Major,Minor,Angle
1,20220622_D12_1.tif:1,210,225.843,26.210,16.885,15.835,110.705
2,20220622_D12_1.tif:1,216,460.653,26.551,16.782,16.388,77.423
3,20220622_D12_1.tif:1,209,694.591,27.299,16.679,15.955,29.116
4,20220622_D12_1.tif:1,203,108.081,96.510,16.665,15.510,97.430
5,20220622_D12_1.tif:1,213,342.993,96.190,16.807,16.136,87.579
6,20220622_D12_1.tif:1,204,577.730,96.304,16.691,15.562,60.158
7,20220622_D12_1.tif:1,192,811.302,96.901,16.030,15.250,42.822
8,20220622_D12_1.tif:1,195,155.541,144.254,16.402,15.137,117.544
9,20220622_D12_1.tif:1,204,391.010,144.554,16.460,15.780,85.604
10,20220622_D12_1.tif:1,202,625.743,145.386,16.178,15.898,51.910
11,20220622_D12_1.tif:1,185,859.873,146.246,16.098,14.632,12.590
12,20220622_D12_1.tif:1,184,37.082,213.685,15.889,14.745,102.714
13,20220622_D12_1.tif:1,203,272.929,213.869,16.400,15.760,95.676
14,20220622_D12_1.tif:1,200,508.385,213.975,16.400,15.527,77.128
15,20220622_D12_1.tif:1,191,742.411,214.223,16.060,15.142,57.991
16,20220622_D12_1.tif:1,198,225.960,261.864,16.318,15.449,97.555
17,20220622_D12_1.tif:1,197,461.058,261.911,16.266,15.421,59.894
18,20220622_D12_1.tif:1,189,695.569,262.013,15.756,15.273,32.551
19,20220622_D12_1.tif:1,184,107.228,331.701,15.896,14.738,101.447
20,20220622_D12_1.tif:1,195,343.515,331.705,16.217,15.310,93.333
21,20220622_D12_1.tif:1,187,578.398,331.660,15.808,15.061,55.169
22,20220622_D12_1.tif:1,177,812.178,331.958,15.551,14.492,17.160
23,20220622_D12_1.tif:1,194,391.201,380.216,16.016,15.422,80.150
24,20220622_D12_1.tif:1,192,626.359,379.859,15.797,15.475,80.724
25,20220622_D12_1.tif:1,188,155.372,380.394,15.691,15.255,61.078
26,20220622_D12_1.tif:1,173,860.280,380.113,15.363,14.337,12.829
27,20220622_D12_1.tif:1,194,273.320,449.211,15.964,15.473,80.039
28,20220622_D12_1.tif:1,196,508.852,449.061,16.022,15.576,71.003
29,20220622_D12_1.tif:1,170,36.659,449.753,15.203,14.237,83.592
30,20220622_D12_1.tif:1,194,743.021,449.521,16.182,15.264,7.773
31,20220622_D12_1.tif:1,189,225.632,497.854,15.943,15.094,73.610
32,20220622_D12_1.tif:1,193,461.479,497.728,15.983,15.374,89.484
33,20220622_D12_1.tif:1,183,696.309,497.380,15.582,14.953,144.105
34,20220622_D12_1.tif:1,192,578.651,567.109,15.843,15.431,30.195
35,20220622_D12_1.tif:1,178,813.191,566.871,15.383,14.733,164.552
36,20220622_D12_1.tif:1,188,107.218,567.904,16.189,14.786,81.342
37,20220622_D12_1.tif:1,191,343.458,567.421,15.768,15.423,61.965
38,20220622_D12_1.tif:1,182,860.615,614.511,15.539,14.913,166.101
39,20220622_D12_1.tif:1,207,391.036,616.104,16.523,15.951,87.138
