 ,Label,Area,XM,YM,Major,Minor,Angle
1,20220803_N8.tif:1,878,850.772,33.071,34.323,32.570,93.453
2,20220803_N8.tif:1,962,490.215,59.078,36.998,33.106,127.459
3,20220803_N8.tif:1,995,66.734,59.760,37.596,33.697,156.798
4,20220803_N8.tif:1,945,1215.852,59.612,35.824,33.587,37.778
5,20220803_N8.tif:1,962,1640.850,59.597,37.566,32.605,17.672
6,20220803_N8.tif:1,921,1002.134,185.806,34.424,34.065,142.498
7,20220803_N8.tif:1,990,277.706,186.866,36.526,34.510,167.479
8,20220803_N8.tif:1,981,1429.353,186.992,37.068,33.697,4.101
9,20220803_N8.tif:1,901,701.277,187.842,34.490,33.261,112.736
10,20220803_N8.tif:2,881,850.745,33.063,34.339,32.666,91.366
11,20220803_N8.tif:2,961,490.168,59.076,36.998,33.071,128.605
12,20220803_N8.tif:2,997,66.744,59.725,37.492,33.858,156.324
13,20220803_N8.tif:2,947,1215.844,59.579,35.819,33.663,38.826
14,20220803_N8.tif:2,960,1640.878,59.547,37.517,32.580,18.001
15,20220803_N8.tif:2,920,1002.152,185.797,34.432,34.020,136.814
16,20220803_N8.tif:2,998,277.808,186.844,36.676,34.647,170.745
17,20220803_N8.tif:2,979,1429.355,187.003,36.928,33.755,4.345
18,20220803_N8.tif:2,899,701.340,187.897,34.476,33.201,110.006
19,20220803_N8.tif:3,879,850.742,33.126,34.400,32.535,91.773
20,20220803_N8.tif:3,957,490.166,58.986,36.899,33.023,128.868
21,20220803_N8.tif:3,998,66.783,59.719,37.657,33.744,156.133
22,20220803_N8.tif:3,947,1215.818,59.608,35.774,33.705,39.876
23,20220803_N8.tif:3,960,1640.914,59.562,37.496,32.598,17.130
24,20220803_N8.tif:3,992,277.721,186.878,36.545,34.561,166.925
25,20220803_N8.tif:3,922,1002.134,185.812,34.448,34.078,149.868
26,20220803_N8.tif:3,976,1429.324,187.025,36.853,33.720,4.456
27,20220803_N8.tif:3,903,701.296,187.910,34.561,33.267,106.923
28,20220803_N8.tif:4,880,850.736,33.118,34.292,32.674,91.242
29,20220803_N8.tif:4,959,490.236,59.051,36.967,33.030,130.017
30,20220803_N8.tif:4,1000,66.752,59.796,37.757,33.722,157.477
